Start	Stop	Strand	Evidence_code	GeneName,GeneID,Contig
11874	14409	+	mRNA identical N	LOC100287102,100287102,NT_077402.2
14362	29370	-	best	WASH5P,653635,NT_077402.2
34611	36081	-	best	FAM138A,645520,NT_077402.2
52352	53495	+	best	OR4G4P,79504,NT_077402.2
62915	63984	+	best	OR4G11P,403263,NT_077402.2
69091	70008	+	best	OR4F5,79501,NT_077402.2
87523	90233	+	mRNA identical N	LOC100132632,100132632,NT_077402.2
128515	133564	-	mRNA  	LOC100287060,100287060,NT_077402.2
133661	139667	-	mRNA  	LOC653340,653340,NT_077402.2
137848	144331	-	mRNA identical N	LOC729737,729737,NT_077402.2
227770	228778	-	best	RPL23AP21,728481,NT_077402.2
324467	327434	+	mRNA identical N	LOC100132287,100132287,NT_077912.1
327461	329281	-	mRNA identical N	LOC100288609,100288609,NT_077912.1
327953	333555	-	mRNA identical N	LOC100288667,100288667,NT_077912.1
329627	342806	+	mRNA identical N	LOC100288646,100288646,NT_077912.1
367659	368597	+	best	OR4F29,729759,NT_077912.1
471014	471360	+	best	RPL23AP24,728517,NT_077912.1
557143	566063	+	mRNA  	LOC100131754,100131754,NT_004350.19
566131	568843	+	mRNA  	LOC100288578,100288578,NT_004350.19
566187	566265	-	external external N	MIR1977,100302230,NT_004350.19
568871	570349	+	mRNA identical N	LOC100288418,100288418,NT_004350.19
610216	610497	+	protein  	LOC100288005,100288005,NT_004350.19
621096	622034	-	best	OR4F16,81399,NT_004350.19
646888	745513	-	mRNA identical N	LOC100287654,100287654,NT_004350.19
656153	659632	+	mRNA  	LOC100132630,100132630,NT_004350.19
660025	662259	+	mRNA  	LOC100133060,100133060,NT_004350.19
662667	665155	-	mRNA identical N	LOC100133331,100133331,NT_004350.19
674315	680197	-	mRNA identical N	LOC728534,728534,NT_004350.19
697695	739562	-	mRNA identical N	LOC100288069,100288069,NT_004350.19
720981	721912	+	mRNA identical N	LOC100287934,100287934,NT_004350.19
753386	755217	+	mRNA identical N	LOC100288100,100288100,NT_004350.19
761586	762902	-	best	NCRNA00115,79854,NT_004350.19
763064	789740	+	best	LOC643837,643837,NT_004350.19
803451	812182	-	best	FAM41C,284593,NT_004350.19
808572	809801	+	best	LOC388579,388579,NT_004350.19
852953	854817	-	best	FLJ39609,100130417,NT_004350.19
855601	856492	-	mRNA identical N	LOC100128838,100128838,NT_004350.19
861121	879961	+	best	SAMD11,148398,NT_004350.19
879583	894679	-	best	NOC2L,26155,NT_004350.19
895967	901095	+	best	KLHL17,339451,NT_004350.19
901877	910488	+	best	PLEKHN1,84069,NT_004350.19
910579	917467	-	mRNA  	C1orf170,84808,NT_004350.19
934342	935552	-	best	HES4,57801,NT_004350.19
943454	943609	-	best	RPL39P12,100270829,NT_004350.19
948847	949920	+	best	ISG15,9636,NT_004350.19
955503	991492	+	best	AGRN,375790,NT_004350.19
993748	1004719	+	protein  	LOC100288175,100288175,NT_004350.19
1006665	1009687	-	mRNA identical N	LOC401934,401934,NT_004350.19
1017198	1051736	-	best	C1orf159,54991,NT_004350.19
1102484	1102578	+	external external N	MIR200B,406984,NT_004350.19
1103243	1103332	+	external external N	MIR200A,406983,NT_004350.19
1104385	1104467	+	external external N	MIR429,554210,NT_004350.19
1109286	1133313	+	best	TTLL10,254173,NT_004350.19
1138888	1142089	-	best	TNFRSF18,8784,NT_004350.19
1146706	1149512	-	best	TNFRSF4,7293,NT_004350.19
1152288	1167447	-	best	SDF4,51150,NT_004350.19
1167629	1170421	+	best	B3GALT6,126792,NT_004350.19
1177833	1182102	-	best	FAM132A,388581,NT_004350.19
1189292	1209234	-	best	UBE2J2,118424,NT_004350.19
1217489	1227409	+	best	SCNN1D,6339,NT_004350.19
1227764	1243269	-	best	ACAP3,116983,NT_004350.19
1243994	1247057	+	best	PUSL1,126789,NT_004350.19
1246965	1260046	-	best	CPSF3L,54973,NT_004350.19
1260143	1264276	+	best	GLTPD1,80772,NT_004350.19
1266726	1269844	+	best	TAS1R3,83756,NT_004350.19
1270658	1284492	-	best	DVL1,1855,NT_004350.19
1288071	1293915	-	best	MXRA8,54587,NT_004350.19
1288801	1290515	+	mRNA identical N	LOC100288202,100288202,NT_004350.19
1309110	1310818	-	best	AURKAIP1,54998,NT_004350.19
1321091	1334718	-	best	CCNL2,81669,NT_004350.19
1334910	1337426	+	best	LOC148413,148413,NT_004350.19
1337276	1342693	-	best	MRPL20,55052,NT_004350.19
1342863	1363167	+	mRNA identical N	TMEM88B,643965,NT_004350.19
1353800	1356650	-	best	LOC441869,441869,NT_004350.19
1365912	1369894	-	mRNA identical N	LOC100288271,100288271,NT_004350.19
1370909	1376146	+	best	VWA1,64856,NT_004350.19
1385069	1405538	+	best	ATAD3C,219293,NT_004350.19
1407164	1431582	+	best	ATAD3B,83858,NT_004350.19
1447555	1470064	+	best	ATAD3A,55210,NT_004350.19
1470158	1475740	-	best	C1orf70,339453,NT_004350.19
1477053	1510262	-	best	SSU72,29101,NT_004350.19
1510010	1510659	+	protein identical N	LOC100288313,100288313,NT_004350.19
1533390	1535470	-	mRNA  	LOC643988,643988,NT_004350.19
1550884	1565985	+	best	MIB2,142678,NT_004350.19
1567560	1570030	+	best	MMP23B,8510,NT_004350.19
1571100	1590473	-	best	CDC2L1,984,NT_004350.19
1592939	1624243	-	best	LOC728661,728661,NT_004350.19
1602957	1606072	+	mRNA  	LOC100288379,100288379,NT_004350.19
1604131	1604782	+	mRNA identical N	LOC100287685,100287685,NT_004350.19
1631378	1633247	+	best	MMP23A,8511,NT_004350.19
1634169	1655791	-	best	CDC2L2,728642,NT_004350.19
1663681	1677431	-	best	SLC35E2,9906,NT_004350.19
1667005	1668928	+	mRNA  	LOC100129381,100129381,NT_004350.19
1682671	1709909	-	best	NADK,65220,NT_004350.19
1716729	1822495	-	best	GNB1,2782,NT_004350.19
1846266	1848733	+	best	CALML6,163688,NT_004350.19
1849029	1850740	-	best	TMEM52,339456,NT_004350.19
1853396	1859368	-	best	C1orf222,339457,NT_004350.19
1884752	1935276	-	best	KIAA1751,85452,NT_004350.19
1950768	1962192	+	best	GABRD,2563,NT_004350.19
1981909	2116834	+	best	PRKCZ,5590,NT_004350.19
2115806	2118698	-	mRNA identical N	LOC100287750,100287750,NT_004350.19
2120482	2125024	-	best	LOC100128003,100128003,NT_004350.19
2120987	2126214	-	best	C1orf86,199990,NT_004350.19
2144366	2145019	-	protein  	FLJ14100,80093,NT_004350.19
